"doi","altmetric","author_no"
"10.1177/20563051251315265",1,3
"10.1177/20563051251316117",NA,2
"10.1177/20563051251313662",4,1
"10.1177/20563051251315255",1,3
"10.1177/20563051251316119",1,2
"10.1177/20563051251314611",14,7
"10.1177/20563051251313847",3,4
"10.1177/20563051241306421",52,4
"10.1177/20563051251313855",2,4
"10.1177/20563051251313844",1,2
"10.1177/20563051251313661",2,2
"10.1177/20563051251313665",3,2
"10.1177/20563051251313610",NA,1
"10.1177/20563051241309497",NA,2
"10.1177/20563051241311962",1,1
"10.1177/20563051241308323",15,1
"10.1177/20563051241301203",NA,2
"10.1177/20563051241309499",2,2
"10.1177/20563051241308330",1,1
"10.1177/20563051241306382",11,3
"10.1177/20563051241308326",1,3
"10.1177/20563051241308597",1,2
"10.1177/20563051241308321",2,2
"10.1177/20563051241306540",2,3
"10.1177/20563051241306331",NA,4
"10.1177/20563051241306323",1,4
"10.1177/20563051241306322",NA,3
"10.1177/20563051241302154",NA,2
"10.1177/20563051241306833",6,3
"10.1177/20563051241306318",NA,2
"10.1177/20563051241304493",9,1
"10.1177/20563051241303362",1,3
"10.1177/20563051241299835",5,2
"10.1177/20563051241303363",2,2
"10.1177/20563051241301202",3,1
"10.1177/20563051241299829",NA,2
"10.1177/20563051241302153",1,2
"10.1177/20563051241301265",3,2
"10.1177/20563051241296256",5,1
"10.1177/20563051241301841",NA,4
"10.1177/20563051241301200",19,2
"10.1177/20563051241286702",NA,5
"10.1177/20563051241298449",NA,3
"10.1177/20563051241298415",NA,2
"10.1177/20563051241302145",1,7
"10.1177/20563051241298446",NA,3
"10.1177/20563051241293623",NA,6
"10.1177/20563051241298042",NA,6
"10.1177/20563051241296229",3,1
"10.1177/20563051241295800",17,1
"10.1177/20563051241293484",4,3
"10.1177/20563051241292990",2,1
"10.1177/20563051241292578",NA,5
"10.1177/20563051241292577",NA,1
"10.1177/20563051241292571",11,3
"10.1177/20563051241290848",3,1
"10.1177/20563051241290845",4,5
"10.1177/20563051241290334",9,2
"10.1177/20563051241288809",NA,2
"10.1177/20563051241288448",NA,4
"10.1177/20563051241290113",9,2
"10.1177/20563051241288942",6,3
"10.1177/20563051241288960",4,2
"10.1177/20563051241287284",NA,3
"10.1177/20563051241286850",NA,1
"10.1177/20563051241286700",1,1
"10.1177/20563051241279552",NA,3
"10.1177/20563051241285774",1,3
"10.1177/20563051241279549",NA,5
"10.1177/20563051241285777",NA,1
"10.1177/20563051241279255",4,2
"10.1177/20563051241279253",1,4
"10.1177/20563051241283426",1,3
"10.1177/20563051241283301",5,2
"10.1177/20563051241279258",1,2
"10.1177/20563051241277607",NA,5
"10.1177/20563051241274658",9,1
"10.1177/20563051241269305",2,2
"10.1177/20563051241277606",8,4
"10.1177/20563051241277603",7,2
"10.1177/20563051241274669",10,2
"10.1177/20563051241279248",14,1
"10.1177/20563051241277601",20,1
"10.1177/20563051241277293",NA,3
"10.1177/20563051241274688",NA,1
"10.1177/20563051241277313",NA,2
"10.1177/20563051241269283",NA,2
"10.1177/20563051241274665",24,1
"10.1177/20563051241274680",1,1
"10.1177/20563051241274677",10,3
"10.1177/20563051241274676",NA,3
"10.1177/20563051241274672",NA,3
"10.1177/20563051241269281",35,2
"10.1177/20563051241274657",NA,2
"10.1177/20563051241274673",1,2
"10.1177/20563051241274667",NA,1
"10.1177/20563051241274668",33,7
"10.1177/20563051241274675",NA,6
"10.1177/20563051241269291",1,1
"10.1177/20563051241269326",NA,2
"10.1177/20563051241269306",NA,1
"10.1177/20563051241269299",NA,2
"10.1177/20563051241269296",NA,6
"10.1177/20563051241269288",2,3
"10.1177/20563051241269278",6,2
"10.1177/20563051241269269",19,4
"10.1177/20563051241269266",NA,3
"10.1177/20563051241269260",11,1
"10.1177/20563051241265863",2,2
"10.1177/20563051241269318",9,2
"10.1177/20563051241269307",NA,1
"10.1177/20563051241265865",3,2
"10.1177/20563051241263562",1,5
"10.1177/20563051241261290",NA,3
"10.1177/20563051241261277",5,2
"10.1177/20563051241257953",52,2
"10.1177/20563051241254369",4,3
"10.1177/20563051241254381",NA,3
"10.1177/20563051241254379",7,2
"10.1177/20563051241254373",NA,3
"10.1177/20563051241254371",NA,2
"10.1177/20563051241247749",NA,1
"10.1177/20563051241247924",NA,3
"10.1177/20563051241242788",NA,3
"10.1177/20563051241248591",23,3
"10.1177/20563051241245668",1,2
"10.1177/20563051241245666",NA,4
"10.1177/20563051241242797",12,1
"10.1177/20563051241244674",26,3
"10.1177/20563051241239295",1,4
"10.1177/20563051241245950",NA,4
"10.1177/20563051241245401",5,4
"10.1177/20563051241242799",1,6
"10.1177/20563051241239282",NA,1
"10.1177/20563051241237782",NA,2
"10.1177/20563051241237273",14,4
"10.1177/20563051241237271",NA,4
"10.1177/20563051241234691",NA,6
"10.1177/20563051241234689",NA,1
"10.1177/20563051241228584",1,3
"10.1177/20563051241232907",2,3
"10.1177/20563051241229659",2,2
"10.1177/20563051241234693",32,2
"10.1177/20563051241228811",131,4
"10.1177/20563051241229655",90,4
"10.1177/20563051241232662",129,1
"10.1177/20563051241228601",NA,4
"10.1177/20563051241228603",12,2
"10.1177/20563051241229656",NA,3
"10.1177/20563051241229657",5,5
"10.1177/20563051241228595",10,3
"10.1177/20563051231224114",5,1
"10.1177/20563051231224729",73,2
"10.1177/20563051231224735",10,2
"10.1177/20563051231224732",NA,1
"10.1177/20563051231224721",9,2
"10.1177/20563051231224713",34,2
"10.1177/20563051231224402",NA,2
"10.1177/20563051231224274",1,1
"10.1177/20563051231224272",NA,1
"10.1177/20563051231224270",1,2
"10.1177/20563051231224269",NA,2
"10.1177/20563051231224268",4,6
"10.1177/20563051231224271",1,3
"10.1177/20563051231224730",9,3
"10.1177/20563051231224723",82,2
"10.1177/20563051231224719",20,1
"10.1177/20563051231224264",20,1
"10.1177/20563051231224404",NA,2
"10.1177/20563051231224401",13,1
"10.1177/20563051231222240",6,3
"10.1177/20563051231220329",1,2
"10.1177/20563051231220328",2,3
"10.1177/20563051231216960",4,1
"10.1177/20563051231216964",2,5
"10.1177/20563051231220330",23,3
"10.1177/20563051231216959",26,1
"10.1177/20563051231216947",NA,5
"10.1177/20563051231216931",20,9
"10.1177/20563051231216927",NA,5
"10.1177/20563051231205592",2,6
"10.1177/20563051231216965",1,4
"10.1177/20563051231214807",6,3
"10.1177/20563051231216922",1,1
"10.1177/20563051231213560",NA,2
"10.1177/20563051231211881",9,2
"10.1177/20563051231211858",NA,2
"10.1177/20563051231213565",28,2
"10.1177/20563051231213542",NA,1
"10.1177/20563051231211945",5,2
"10.1177/20563051231211941",NA,3
"10.1177/20563051231207859",9,5
"10.1177/20563051231207853",NA,2
"10.1177/20563051231207850",128,2
"10.1177/20563051231207857",12,3
"10.1177/20563051231207852",4,3
"10.1177/20563051231207851",18,2
"10.1177/20563051231207848",NA,3
"10.1177/20563051231207847",63,3
"10.1177/20563051231205594",1,2
"10.1177/20563051231203682",1,3
"10.1177/20563051231203675",NA,2
"10.1177/20563051231205598",1,4
"10.1177/20563051231203691",1,1
"10.1177/20563051231203680",NA,2
"10.1177/20563051231205596",NA,3
"10.1177/20563051231205588",37,2
"10.1177/20563051231199452",NA,4
"10.1177/20563051231196876",189,4
"10.1177/20563051231196870",1,2
"10.1177/20563051231199457",7,3
"10.1177/20563051231196880",NA,5
"10.1177/20563051231196871",NA,1
"10.1177/20563051231199430",NA,2
"10.1177/20563051231196538",6,6
"10.1177/20563051231196899",1,2
"10.1177/20563051231196881",NA,1
"10.1177/20563051231196879",NA,3
"10.1177/20563051231196868",NA,2
"10.1177/20563051231196874",1,1
"10.1177/20563051231196898",82,2
"10.1177/20563051231196878",2,3
"10.1177/20563051231196554",5,3
"10.1177/20563051231196897",2,1
"10.1177/20563051231196866",6,4
"10.1177/20563051231196561",NA,4
"10.1177/20563051231196882",7,1
"10.1177/20563051231196864",158,2
"10.1177/20563051231196692",5,5
"10.1177/20563051231196544",1,6
"10.1177/20563051231195552",7,2
"10.1177/20563051231195548",2,2
"10.1177/20563051231194584",38,4
"10.1177/20563051231194576",19,7
"10.1177/20563051231195582",8,2
"10.1177/20563051231195545",NA,1
"10.1177/20563051231194586",147,3
"10.1177/20563051231193027",12,1
"10.1177/20563051231192033",17,1
"10.1177/20563051231195553",NA,3
"10.1177/20563051231195549",6,1
"10.1177/20563051231195547",NA,2
"10.1177/20563051231195544",1,1
"10.1177/20563051231193739",NA,2
"10.1177/20563051231192972",5,2
"10.1177/20563051231193304",19,1
"10.1177/20563051231192963",23,3
"10.1177/20563051231195542",16,1
"10.1177/20563051231195546",3,2
"10.1177/20563051231192034",NA,1
"10.1177/20563051231194580",NA,1
"10.1177/20563051231193025",NA,3
"10.1177/20563051231192032",430,4
"10.1177/20563051231192021",7,1
"10.1177/20563051231186365",34,2
"10.1177/20563051231190002",1,1
"10.1177/20563051231186368",NA,3
"10.1177/20563051231190037",NA,2
"10.1177/20563051231186862",28,5
"10.1177/20563051231186561",NA,2
"10.1177/20563051231186372",9,2
"10.1177/20563051231186364",63,2
"10.1177/20563051231186109",2,1
"10.1177/20563051231186353",277,1
"10.1177/20563051231186343",39,1
"10.1177/20563051231177953",NA,2
"10.1177/20563051231177964",1,1
"10.1177/20563051231166443",2,2
"10.1177/20563051231183430",4,1
"10.1177/20563051231180625",6,1
"10.1177/20563051231180628",72,4
"10.1177/20563051231180623",11,2
"10.1177/20563051231179694",228,2
"10.1177/20563051231182359",82,1
"10.1177/20563051231179705",1,1
"10.1177/20563051231181099",1,2
"10.1177/20563051231180638",7,3
"10.1177/20563051231177962",2,3
"10.1177/20563051231177970",1,3
"10.1177/20563051231177920",82,1
"10.1177/20563051231177916",2,2
"10.1177/20563051231179697",1,3
"10.1177/20563051231179689",1,3
"10.1177/20563051231177899",39,5
"10.1177/20563051231177946",NA,2
"10.1177/20563051231177944",16,3
"10.1177/20563051231177936",NA,2
"10.1177/20563051231177921",15,1
"10.1177/20563051231177915",20,4
"10.1177/20563051231177913",1,1
"10.1177/20563051231177910",4,1
"10.1177/20563051231177907",8,1
"10.1177/20563051231177906",9,1
"10.1177/20563051231177943",230,3
"10.1177/20563051231177941",2,1
"10.1177/20563051231177938",81,3
"10.1177/20563051231177934",NA,2
"10.1177/20563051231177930",68,2
"10.1177/20563051231177904",NA,2
"10.1177/20563051231177897",3,1
"10.1177/20563051231179696",41,1
"10.1177/20563051231177952",NA,3
"10.1177/20563051231177959",NA,2
"10.1177/20563051231177951",NA,1
"10.1177/20563051231175624",NA,1
"10.1177/20563051231167335",NA,2
"10.1177/20563051231168370",3,3
"10.1177/20563051231170606",NA,1
"10.1177/20563051231168376",3,1
"10.1177/20563051231171638",3,1
"10.1177/20563051231170816",4,1
"10.1177/20563051231167336",5,1
"10.1177/20563051231168647",6,1
"10.1177/20563051231166446",23,1
"10.1177/20563051231161298",1,2
"10.1177/20563051231158823",NA,2
"10.1177/20563051231164310",NA,4
"10.1177/20563051231161296",4,2
"10.1177/20563051231163327",23,6
"10.1177/20563051231160632",32,6
"10.1177/20563051231158825",2,2
"10.1177/20563051231158824",6,1
"10.1177/20563051231158822",2,2
"10.1177/20563051231157290",1,3
"10.1177/20563051231157607",48,2
"10.1177/20563051231157300",26,2
"10.1177/20563051231155103",66,2
"10.1177/20563051231157291",NA,2
"10.1177/20563051231156401",20,3
"10.1177/20563051231157609",11,1
"10.1177/20563051231157604",64,1
"10.1177/20563051231157598",20,2
"10.1177/20563051231157595",45,2
"10.1177/20563051231157590",17,2
"10.1177/20563051231157452",56,2
"10.1177/20563051231157299",9,2
"10.1177/20563051231157297",1,3
"10.1177/20563051231156365",NA,4
"10.1177/20563051231156363",2,3
"10.1177/20563051231155113",1,4
"10.1177/20563051231155101",37,4
"10.1177/20563051231152812",NA,2
"10.1177/20563051231157603",112,3
"10.1177/20563051231157594",NA,1
"10.1177/20563051231155111",1,1
"10.1177/20563051221150406",31,2
"10.1177/20563051231155106",17,2
"10.1177/20563051221150418",2,3
"10.1177/20563051221150410",11,2
"10.1177/20563051221150403",18,4
"10.1177/20563051221147332",NA,2
"10.1177/20563051221150412",620,3
"10.1177/20563051221147325",15,7
"10.1177/20563051221150420",22,4
"10.1177/20563051221150407",8,5
"10.1177/20563051221150409",NA,2
"10.1177/20563051221150414",1,3
"10.1177/20563051221150404",3,4
"10.1177/20563051221147324",1,4
"10.1177/20563051221146489",1,3
"10.1177/20563051221148977",NA,3
"10.1177/20563051221146176",4,1
"10.1177/20563051221147328",64,2
"10.1177/20563051221146185",6,3
"10.1177/20563051221146182",10,2
"10.1177/20563051221144252",9,3
"10.1177/20563051221130447",19,3
"10.1177/20563051221144317",38,2
"10.1177/20563051221144315",67,3
"10.1177/20563051221144322",NA,2
"10.1177/20563051221138757",NA,3
"10.1177/20563051221141857",1,4
"10.1177/20563051221141851",NA,8
"10.1177/20563051221138760",2,1
"10.1177/20563051221138756",8,3
"10.1177/20563051221140998",5,1
"10.1177/20563051221138939",9,3
"10.1177/20563051221138762",5,1
"10.1177/20563051221138754",NA,2
"10.1177/20563051221138753",23,3
"10.1177/20563051221138758",17,4
"10.1177/20563051221137738",5,2
"10.1177/20563051221137088",1,3
"10.1177/20563051221130292",2,2
"10.1177/20563051221136111",NA,2
"10.1177/20563051221136114",1,4
"10.1177/20563051221129151",3,2
"10.1177/20563051221130282",27,1
"10.1177/20563051221129187",NA,3
"10.1177/20563051221129156",26,2
"10.1177/20563051221129147",5,3
"10.1177/20563051221129140",12,2
"10.1177/20563051221126051",89,3
"10.1177/20563051221126085",NA,8
"10.1177/20563051221126076",4,6
"10.1177/20563051221126040",45,2
"10.1177/20563051221126053",NA,2
"10.1177/20563051221126041",27,2
"10.1177/20563051221123038",11,1
"10.1177/20563051221122792",22,4
"10.1177/20563051221122464",11,2
"10.1177/20563051221122463",5,6
"10.1177/20563051221123032",NA,4
"10.1177/20563051221123031",NA,3
"10.1177/20563051221122441",NA,2
"10.1177/20563051221122448",121,2
"10.1177/20563051221117570",98,1
"10.1177/20563051221119475",NA,5
"10.1177/20563051221116346",25,3
"10.1177/20563051221117576",7,1
"10.1177/20563051221117568",NA,2
"10.1177/20563051221118378",8,2
"10.1177/20563051221117552",164,1
"10.1177/20563051221107633",NA,4
"10.1177/20563051221116339",NA,3
"10.1177/20563051221117564",NA,2
"10.1177/20563051221116846",9,1
"10.1177/20563051221115211",NA,4
"10.1177/20563051221116847",5,6
"10.1177/20563051221114827",15,3
"10.1177/20563051221113068",160,6
"10.1177/20563051221114463",NA,1
"10.1177/20563051221114430",4,2
"10.1177/20563051221114391",2,3
"10.1177/20563051221108076",1,1
"10.1177/20563051221113076",1,1
"10.1177/20563051221113075",4,2
"10.1177/20563051221113070",NA,1
"10.1177/20563051221104749",NA,3
"10.1177/20563051221104232",NA,3
"10.1177/20563051221098697",12,3
"10.1177/20563051221109189",NA,1
"10.1177/20563051221107644",5,1
"10.1177/20563051221107642",1,1
"10.1177/20563051221107634",9,1
"10.1177/20563051221107635",5,1
"10.1177/20563051221107632",1,1
"10.1177/20563051221107631",131,1
"10.1177/20563051221107629",28,2
"10.1177/20563051221108410",11,2
"10.1177/20563051221107650",NA,3
"10.1177/20563051221107641",9,2
"10.1177/20563051221108409",NA,2
"10.1177/20563051221098347",24,1
"10.1177/20563051221103843",5,1
"10.1177/20563051221103841",5,2
"10.1177/20563051221098342",NA,2
"10.1177/20563051221098343",132,3
"10.1177/20563051221096817",1,2
"10.1177/20563051221086228",40,4
"10.1177/20563051221094768",NA,2
"10.1177/20563051221095444",NA,2
"10.1177/20563051221094773",24,4
"10.1177/20563051221094769",NA,1
"10.1177/20563051221095100",4,3
"10.1177/20563051221094775",1,2
"10.1177/20563051221089568",7,3
"10.1177/20563051221091545",3,3
"10.1177/20563051221089561",3,3
"10.1177/20563051221084950",NA,3
"10.1177/20563051221087390",NA,6
"10.1177/20563051221087623",12,2
"10.1177/20563051221086933",2,2
"10.1177/20563051221084958",7,3
"10.1177/20563051221084297",NA,5
"10.1177/20563051221086234",1,4
"10.1177/20563051221086233",2,6
"10.1177/20563051221087255",5,2
"10.1177/20563051221086235",26,3
"10.1177/20563051221086241",193,2
"10.1177/20563051221086229",3,4
"10.1177/20563051221086236",NA,1
"10.1177/20563051221077675",NA,3
"10.1177/20563051221077019",8,3
"10.1177/20563051221080475",5,4
"10.1177/20563051221077022",NA,2
"10.1177/20563051221077217",24,4
"10.1177/20563051221077032",1,3
"10.1177/20563051221080473",27,1
"10.1177/20563051221078224",23,2
"10.1177/20563051221077308",28,3
"10.1177/20563051221077024",NA,5
"10.1177/20563051221077025",4,1
"10.1177/20563051221077020",4,1
"10.1177/20563051221077014",10,1
"10.1177/20563051221077027",3,4
"10.1177/20563051221077021",33,2
"10.1177/20563051221077016",NA,2
"10.1177/20563051221077030",14,2
"10.1177/20563051211069053",8,3
"10.1177/20563051211069055",36,4
"10.1177/20563051211069056",5,3
"10.1177/20563051211069125",11,2
"10.1177/20563051211063461",6,2
"10.1177/20563051211069054",NA,3
"10.1177/20563051211069051",21,1
"10.1177/20563051211069048",12,3
"10.1177/20563051211063463",7,2
"10.1177/20563051211063470",1,1
"10.1177/20563051211052906",24,5
"10.1177/20563051211068130",60,2
"10.1177/20563051211063843",4,1
"10.1177/20563051211064906",2,4
"10.1177/20563051211063465",1,5
"10.1177/20563051211062921",NA,2
"10.1177/20563051211062919",23,1
"10.1177/20563051211063464",NA,2
"10.1177/20563051211063462",82,3
"10.1177/20563051211063460",2,3
"10.1177/20563051211062917",5,2
"10.1177/20563051211062915",2,3
"10.1177/20563051211062920",NA,3
"10.1177/20563051211059261",7,1
"10.1177/20563051211059710",26,2
"10.1177/20563051211059704",8,2
"10.1177/20563051211055439",NA,2
"10.1177/20563051211055442",1,8
"10.1177/20563051211055438",20,1
"10.1177/20563051211052897",NA,2
"10.1177/20563051211052907",NA,2
"10.1177/20563051211052905",NA,7
"10.1177/20563051211049246",NA,3
"10.1177/20563051211048413",1,7
"10.1177/20563051211047667",9,2
"10.1177/20563051211047876",2,5
"10.1177/20563051211047875",NA,1
"10.1177/20563051211047545",1,2
"10.1177/20563051211041643",NA,1
"10.1177/20563051211043906",2,3
"10.1177/20563051211038262",NA,2
"10.1177/20563051211033820",4,3
"10.1177/20563051211044233",66,6
"10.1177/20563051211044239",NA,1
"10.1177/20563051211043218",10,3
"10.1177/20563051211041650",10,1
"10.1177/20563051211043212",4,3
"10.1177/20563051211041648",NA,2
"10.1177/20563051211042396",14,1
"10.1177/20563051211042397",NA,2
"10.1177/20563051211042400",2,4
"10.1177/20563051211041644",NA,2
"10.1177/20563051211041649",41,3
"10.1177/20563051211041646",30,2
"10.1177/20563051211035692",2,4
"10.1177/20563051211036939",81,4
"10.1177/20563051211038236",23,1
"10.1177/20563051211038306",NA,3
"10.1177/20563051211036064",44,1
"10.1177/20563051211036385",29,1
"10.1177/20563051211036940",51,2
"10.1177/20563051211035698",5,2
"10.1177/20563051211035350",NA,3
"10.1177/20563051211035357",NA,3
"10.1177/20563051211036059",14,3
"10.1177/20563051211035694",2,3
"10.1177/20563051211035352",NA,2
"10.1177/20563051211035356",4,4
"10.1177/20563051211035697",NA,3
"10.1177/20563051211035353",7,10
"10.1177/20563051211033810",4,2
"10.1177/20563051211033824",23,3
"10.1177/20563051211033823",61,5
"10.1177/20563051211033817",NA,1
"10.1177/20563051211033809",1,2
"10.1177/20563051211033821",NA,7
"10.1177/20563051211033815",NA,6
"10.1177/20563051211033808",1,3
"10.1177/20563051211032138",NA,2
"10.1177/20563051211030500",NA,1
"10.1177/20563051211027202",41,4
"10.1177/20563051211019715",1,4
"10.1177/20563051211025511",9,2
"10.1177/20563051211024960",6,5
"10.1177/20563051211024961",6,5
"10.1177/20563051211024958",4,3
"10.1177/20563051211024957",50,5
"10.1177/20563051211024977",51,4
"10.1177/20563051211024966",7,3
"10.1177/20563051211024963",123,3
"10.1177/20563051211027213",3,2
"10.1177/20563051211025514",2,1
"10.1177/20563051211024962",1,5
"10.1177/20563051211021382",146,3
"10.1177/20563051211021378",760,1
"10.1177/20563051211021368",151,4
"10.1177/20563051211021367",7,2
"10.1177/20563051211019013",5,6
"10.1177/20563051211019004",NA,5
"10.1177/20563051211019003",2,3
"10.1177/20563051211017492",28,1
"10.1177/20563051211017482",292,3
"10.1177/20563051211013253",3,1
"10.1177/2056305121999656",39,3
"10.1177/20563051211012365",1,1
"10.1177/20563051211012344",33,4
"10.1177/20563051211010170",NA,2
"10.1177/20563051211010169",NA,1
"10.1177/20563051211010167",1,2
"10.1177/20563051211009073",8,2
"10.1177/20563051211009014",NA,2
"10.1177/20563051211009013",NA,3
"10.1177/20563051211008831",15,1
"10.1177/20563051211008829",26,2
"10.1177/20563051211008828",77,1
"10.1177/20563051211008827",11,1
"10.1177/20563051211008822",207,2
"10.1177/20563051211008821",159,2
"10.1177/20563051211008816",NA,2
"10.1177/20563051211008817",382,20
"10.1177/20563051211003066",151,1
"10.1177/2056305121999661",11,2
"10.1177/2056305121999660",23,2
"10.1177/2056305121995788",10,2
"10.1177/2056305120984455",10,1
"10.1177/2056305120984449",11,2
"10.1177/2056305120984444",11,1
"10.1177/2056305121993765",NA,3
"10.1177/2056305121990632",NA,2
"10.1177/2056305121990643",28,2
"10.1177/2056305121990637",NA,2
"10.1177/2056305121990635",10,3
"10.1177/2056305121989253",1,2
"10.1177/2056305121988931",129,5
"10.1177/2056305121988928",103,2
"10.1177/2056305120984472",8,3
"10.1177/2056305120984462",NA,2
"10.1177/2056305120984458",14,1
"10.1177/2056305120984456",11,2
"10.1177/2056305120984454",NA,1
"10.1177/2056305120984447",4,2
"10.1177/2056305120984446",3,1
"10.1177/2056305120981053",14,3
"10.1177/2056305121988932",20,3
"10.1177/2056305121988930",NA,3
"10.1177/2056305121988929",32,1
"10.1177/2056305120984445",25,3
"10.1177/2056305120984475",22,4
"10.1177/2056305120984477",23,2
"10.1177/2056305120984468",NA,2
"10.1177/2056305120984461",1,3
"10.1177/2056305120984459",27,1
"10.1177/2056305120984453",8,2
"10.1177/2056305120984452",38,3
"10.1177/2056305120981059",10,1
"10.1177/2056305120981044",3,1
"10.1177/2056305120984476",NA,2
"10.1177/2056305120981047",263,1
"10.1177/2056305120981039",37,1
"10.1177/2056305120978968",2,1
"10.1177/2056305120981057",89,2
"10.1177/2056305120978364",26,4
"10.1177/2056305120978366",7,1
"10.1177/2056305120975713",11,1
"10.1177/2056305120978377",16,3
"10.1177/2056305120978376",NA,3
"10.1177/2056305120978369",31,3
"10.1177/2056305120975716",60,5
"10.1177/2056305120974610",2,4
"10.1177/2056305120961784",5,3
"10.1177/2056305120972037",21,3
"10.1177/2056305120969914",NA,2
"10.1177/2056305120969912",24,3
"10.1177/2056305120971632",44,2
"10.1177/2056305120969891",19,2
"10.1177/2056305120969877",NA,1
"10.1177/2056305120955182",10,2
"10.1177/2056305120965209",NA,3
"10.1177/2056305120963832",42,1
"10.1177/2056305120963824",15,1
"10.1177/2056305120961783",39,1
"10.1177/2056305120965517",1,2
"10.1177/2056305120965155",NA,1
"10.1177/2056305120965152",10,3
"10.1177/2056305120963760",4,4
"10.1177/2056305120965518",4,4
"10.1177/2056305120955176",NA,6
"10.1177/2056305120957290",13,4
"10.1177/2056305120955173",1,2
