"doi","altmetric","author_no"
"10.1177/14614448221122201",NA,2
"10.1177/14614448221122193",NA,1
"10.1177/14614448221122190",6,1
"10.1177/14614448221122168",6,2
"10.1177/14614448221122144",11,2
"10.1177/14614448221127212",NA,3
"10.1177/14614448221127899",6,3
"10.1177/14614448221127261",20,2
"10.1177/14614448221122186",NA,8
"10.1177/14614448221124085",NA,1
"10.1177/14614448221123279",13,1
"10.1177/14614448221122996",NA,2
"10.1177/14614448221122915",36,2
"10.1177/14614448221122734",NA,4
"10.1177/14614448221122228",NA,2
"10.1177/14614448221122224",23,1
"10.1177/14614448221122252",NA,1
"10.1177/14614448221122220",13,3
"10.1177/14614448221122211",NA,1
"10.1177/14614448221122202",10,4
"10.1177/14614448221122212",NA,2
"10.1177/14614448221122194",NA,4
"10.1177/14614448221122146",28,3
"10.1177/14614448221119785",165,2
"10.1177/14614448221113922",19,2
"10.1177/14614448221116569",2,5
"10.1177/14614448221117994",14,1
"10.1177/14614448221117499",16,1
"10.1177/14614448221116036",15,2
"10.1177/14614448221113923",115,2
"10.1177/14614448221117767",20,6
"10.1177/14614448221117748",12,2
"10.1177/14614448221117484",1,2
"10.1177/14614448221116344",20,2
"10.1177/14614448221114628",3,4
"10.1177/14614448221108108",NA,4
"10.1177/14614448221113007",NA,1
"10.1177/14614448221111009",15,1
"10.1177/14614448221109800",5,3
"10.1177/14614448221109952",NA,1
"10.1177/14614448221108957",58,3
"10.1177/14614448221109804",47,4
"10.1177/14614448221109801",1,1
"10.1177/14614448221109550",NA,1
"10.1177/14614448221108960",12,4
"10.1177/14614448221108112",1,2
"10.1177/14614448221108959",NA,1
"10.1177/14614448221108449",24,1
"10.1177/14614448221104405",56,4
"10.1177/14614448221104209",6,2
"10.1177/14614448221099235",68,2
"10.1177/14614448221099234",28,3
"10.1177/14614448221099233",13,1
"10.1177/14614448221099232",NA,1
"10.1177/14614448221099229",NA,1
"10.1177/14614448221099228",NA,1
"10.1177/14614448221099225",48,6
"10.1177/14614448221099224",17,1
"10.1177/14614448221099223",NA,3
"10.1177/14614448221108451",6,4
"10.1177/14614448221105877",11,2
"10.1177/14614448221105428",51,3
"10.1177/14614448221105847",1,1
"10.1177/14614448221104413",NA,4
"10.1177/14614448221106030",5,2
"10.1177/14614448221104948",NA,1
"10.1177/14614448221104234",2,2
"10.1177/14614448221104233",15,2
"10.1177/14614448221103534",75,2
"10.1177/14614448221103533",9,1
"10.1177/14614448221101783",17,2
"10.1177/14614448221100699",7,5
"10.1177/14614448221099860",10,1
"10.1177/14614448221099180",NA,2
"10.1177/14614448221100802",34,2
"10.1177/14614448221103176",NA,4
"10.1177/14614448221103124",17,3
"10.1177/14614448221102900",38,3
"10.1177/14614448221101163",1,1
"10.1177/14614448221100782",NA,4
"10.1177/14614448221099900",4,2
"10.1177/14614448221099591",36,2
"10.1177/14614448221099187",23,2
"10.1177/14614448221099587",3,1
"10.1177/14614448221099217",12,1
"10.1177/14614448221099170",NA,4
"10.1177/14614448221099173",5,5
"10.1177/14614448221099172",NA,1
"10.1177/14614448221097889",NA,1
"10.1177/14614448221097000",NA,5
"10.1177/14614448221099168",NA,3
"10.1177/14614448221100835",NA,4
"10.1177/14614448221099536",29,2
"10.1177/14614448221098360",6,2
"10.1177/14614448221098042",NA,3
"10.1177/14614448221097946",4,4
"10.1177/14614448221097891",NA,3
"10.1177/14614448221097305",3,2
"10.1177/14614448221096334",23,7
"10.1177/14614448221095437",18,1
"10.1177/14614448221095160",NA,1
"10.1177/14614448221095218",9,2
"10.1177/14614448221096768",1,1
"10.1177/14614448221090916",22,2
"10.1177/14614448221096806",NA,2
"10.1177/14614448211060841",NA,2
"10.1177/14614448221090194",NA,2
"10.1177/14614448221089604",NA,2
"10.1177/14614448221098364",NA,1
"10.1177/14614448221090195",NA,2
"10.1177/14614448221089278",NA,3
"10.1177/14614448221093762",10,19
"10.1177/14614448221093943",18,1
"10.1177/14614448221092006",77,1
"10.1177/14614448221091185",NA,3
"10.1177/14614448221092028",4,1
"10.1177/14614448221090201",28,2
"10.1177/14614448221090474",9,4
"10.1177/14614448221088866",NA,3
"10.1177/14614448221090638",3,1
"10.1177/14614448221088970",2,3
"10.1177/14614448221088274",59,3
"10.1177/14614448221083914",1,2
"10.1177/14614448221079035",30,6
"10.1177/14614448221079037",2,4
"10.1177/14614448221079028",NA,2
"10.1177/14614448221079034",1,1
"10.1177/14614448221079033",NA,2
"10.1177/14614448221079027",1,3
"10.1177/14614448221079032",24,1
"10.1177/14614448221079029",NA,1
"10.1177/14614448221080480",6,1
"10.1177/14614448221082651",70,5
"10.1177/14614448221085559",10,4
"10.1177/14614448221078865",20,5
"10.1177/14614448221086296",NA,1
"10.1177/14614448221083285",NA,2
"10.1177/14614448221079036",17,2
"10.1177/14614448221080481",4,2
"10.1177/14614448221082122",24,4
"10.1177/14614448221079030",41,3
"10.1177/14614448221084655",1,1
"10.1177/14614448221083992",55,3
"10.1177/14614448221083025",22,3
"10.1177/14614448221081802",NA,1
"10.1177/14614448221083903",58,2
"10.1177/14614448221083652",10,1
"10.1177/14614448221081426",10,2
"10.1177/14614448221079631",4,1
"10.1177/14614448221077240",7,3
"10.1177/14614448221081401",NA,1
"10.1177/14614448221077977",NA,6
"10.1177/14614448221077284",5,1
"10.1177/14614448221082082",12,1
"10.1177/14614448221077278",NA,2
"10.1177/14614448221078603",38,1
"10.1177/14614448221080717",NA,1
"10.1177/14614448221080460",NA,1
"10.1177/14614448221079626",NA,5
"10.1177/14614448221078119",9,2
"10.1177/14614448221078604",8,1
"10.1177/14614448211040247",13,1
"10.1177/14614448211040245",NA,1
"10.1177/14614448221075736",29,8
"10.1177/14614448211063190",10,1
"10.1177/14614448211063187",3,1
"10.1177/14614448211063186",NA,1
"10.1177/14614448211063185",2,2
"10.1177/14614448211063184",12,4
"10.1177/14614448211063183",NA,1
"10.1177/14614448211063182",NA,3
"10.1177/14614448211063181",NA,4
"10.1177/14614448211063180",NA,3
"10.1177/14614448211063178",1,2
"10.1177/14614448211063177",11,2
"10.1177/14614448211063174",22,1
"10.1177/14614448211063173",NA,2
"10.1177/14614448221077286",11,4
"10.1177/14614448221078274",NA,1
"10.1177/14614448221077354",5,1
"10.1177/14614448221076155",NA,7
"10.1177/14614448221075774",1,2
"10.1177/14614448221075759",215,3
"10.1177/14614448211072827",NA,1
"10.1177/14614448211072307",2,5
"10.1177/14614448211063621",70,2
"10.1177/14614448211064302",3,1
"10.1177/14614448221075296",7,3
"10.1177/14614448221074705",NA,4
"10.1177/14614448221074648",NA,4
"10.1177/14614448221074049",1,1
"10.1177/14614448211073059",13,3
"10.1177/14614448211072808",99,2
"10.1177/14614448211072257",NA,3
"10.1177/14614448211072201",3,4
"10.1177/14614448221074047",NA,1
"10.1177/14614448211072306",NA,8
"10.1177/14614448211069343",NA,2
"10.1177/14614448211068437",NA,2
"10.1177/14614448211063860",26,3
"10.1177/14614448211059114",7,3
"10.1177/14614448211063466",74,1
"10.1177/14614448211069996",6,2
"10.1177/14614448211068530",28,4
"10.1177/14614448211068104",10,3
"10.1177/14614448211067836",10,1
"10.1177/14614448211063899",23,2
"10.1177/14614448211068937",5,1
"10.1177/14614448211068436",6,1
"10.1177/14614448211067756",NA,1
"10.1177/14614448211067460",8,2
"10.1177/14614448211067462",2,1
"10.1177/14614448211065425",162,3
"10.1177/14614448211065420",1,2
"10.1177/14614448211067259",14,4
"10.1177/14614448211062545",NA,4
"10.1177/14614448211061729",46,3
"10.1177/14614448211059488",9,2
"10.1177/14614448211062548",20,2
"10.1177/14614448211059489",6,2
"10.1177/14614448211062393",10,3
"10.1177/14614448211062164",138,7
"10.1177/14614448211062123",NA,1
"10.1177/14614448211062070",63,3
"10.1177/14614448211061830",2,2
"10.1177/14614448211061829",94,2
"10.1177/14614448211061336",15,3
"10.1177/14614448211059121",NA,5
"10.1177/14614448211059529",9,2
"10.1177/14614448211059117",32,1
"10.1177/14614448211058850",NA,3
"10.1177/14614448211058455",55,1
"10.1177/14614448211058701",11,3
"10.1177/14614448211058468",9,5
"10.1177/14614448211057108",1,2
"10.1177/14614448211057106",34,3
"10.1177/14614448211056863",9,4
"10.1177/14614448211056851",69,1
"10.1177/14614448211055367",NA,2
"10.1177/14614448211055366",6,3
"10.1177/14614448211054778",1,1
"10.1177/14614448211054011",3,1
"10.1177/14614448211047955",NA,1
"10.1177/14614448211047951",19,2
"10.1177/14614448211054830",8,3
"10.1177/14614448211054377",2,2
"10.1177/14614448211054005",2,2
"10.1177/14614448211053559",NA,3
"10.1177/14614448211050928",NA,5
"10.1177/14614448211052893",25,2
"10.1177/14614448211053555",11,1
"10.1177/14614448211051984",NA,3
"10.1177/14614448211051648",NA,2
"10.1177/14614448211050885",NA,2
"10.1177/14614448211049264",8,1
"10.1177/14614448211049459",5,2
"10.1177/14614448211045666",485,19
"10.1177/14614448211048615",NA,2
"10.1177/14614448211047850",6,2
"10.1177/14614448211047845",9,2
"10.1177/14614448211044942",NA,1
"10.1177/14614448211046616",22,2
"10.1177/14614448211045664",NA,4
"10.1177/14614448211045662",79,3
"10.1177/14614448211044393",130,1
"10.1177/14614448211044025",11,2
"10.1177/14614448211043192",62,3
"10.1177/14614448211043189",79,3
"10.1177/14614448211041715",7,3
"10.1177/14614448211032965",33,2
"10.1177/14614448211038902",2,1
"10.1177/14614448211041175",8,2
"10.1177/14614448211040521",NA,2
"10.1177/14614448211041176",NA,3
"10.1177/14614448211017527",3,3
"10.1177/14614448211040266",15,2
"10.1177/14614448211038904",NA,5
"10.1177/14614448211040520",3,2
"10.1177/14614448211039060",NA,7
"10.1177/14614448211039059",1,2
"10.1177/1461444821993133",1,8
"10.1177/1461444821993131",10,2
"10.1177/1461444821993124",NA,4
"10.1177/1461444821993122",16,2
"10.1177/1461444821993121",10,2
"10.1177/1461444821993120",7,3
"10.1177/14614448211038810",1,1
"10.1177/14614448211038761",13,4
"10.1177/14614448211031249",2,3
"10.1177/14614448211038763",2,1
"10.1177/14614448211038762",4,2
"10.1177/14614448211038350",1,1
"10.1177/14614448211039222",8,2
"10.1177/14614448211036405",1,4
"10.1177/14614448211035769",1,2
"10.1177/14614448211036356",2,1
"10.1177/14614448211035121",1,1
"10.1177/14614448211028546",NA,1
"10.1177/14614448211034846",10,3
"10.1177/14614448211034158",4,1
"10.1177/14614448211027961",17,3
"10.1177/14614448211034848",4,1
"10.1177/14614448211034159",NA,9
"10.1177/14614448211032980",2,1
"10.1177/14614448211032969",12,2
"10.1177/14614448211029975",NA,2
"10.1177/14614448211021032",38,1
"10.1177/14614448211033493",NA,2
"10.1177/14614448211033300",42,5
"10.1177/14614448211032310",6,5
"10.1177/14614448211029200",NA,1
"10.1177/14614448211023007",9,6
"10.1177/14614448211015979",NA,2
"10.1177/14614448211015977",1,3
"10.1177/14614448211019322",1,1
"10.1177/14614448211031031",NA,3
"10.1177/14614448211031908",134,2
"10.1177/14614448211029293",57,3
"10.1177/14614448211027175",13,6
"10.1177/14614448211029662",17,2
"10.1177/14614448211027959",NA,4
"10.1177/14614448211027963",NA,2
"10.1177/14614448211027863",1,1
"10.1177/14614448211027393",167,3
"10.1177/14614448211027174",21,2
"10.1177/14614448211022161",19,2
"10.1177/14614448211026618",NA,1
"10.1177/14614448211019688",2,1
"10.1177/14614448211027173",20,3
"10.1177/14614448211026611",NA,2
"10.1177/14614448211026580",10,3
"10.1177/14614448211014841",NA,1
"10.1177/14614448211014823",2,3
"10.1177/14614448211026575",17,4
"10.1177/14614448211024546",79,4
"10.1177/14614448211024142",3,2
"10.1177/14614448211021720",88,2
"10.1177/14614448211018160",NA,2
"10.1177/14614448211027171",NA,3
"10.1177/14614448211026059",NA,2
"10.1177/14614448211024012",2,2
"10.1177/14614448211023772",1457,1
"10.1177/14614448211020691",NA,2
"10.1177/14614448211018609",38,1
"10.1177/14614448211021045",5,4
"10.1177/14614448211022702",4,1
"10.1177/14614448211021071",7,3
"10.1177/14614448211021404",NA,1
"10.1177/14614448211020752",35,3
"10.1177/14614448211020690",56,3
"10.1177/14614448211020754",2,4
"10.1177/14614448211020692",4,1
"10.1177/14614448211019495",NA,5
"10.1177/14614448211018797",NA,2
"10.1177/14614448211019303",12,3
"10.1177/14614448211019300",40,1
"10.1177/14614448211019198",NA,1
"10.1177/14614448211019155",3,5
"10.1177/14614448211018833",NA,2
"10.1177/14614448211017920",NA,5
"10.1177/14614448211016316",16,3
"10.1177/14614448211017887",89,1
"10.1177/14614448211015984",2,2
"10.1177/14614448211009488",NA,2
"10.1177/14614448211018177",6,1
"10.1177/14614448211016885",8,3
"10.1177/14614448211016400",7,4
"10.1177/14614448211015982",3,3
"10.1177/14614448211012791",50,3
"10.1177/14614448211015805",NA,2
"10.1177/14614448211015625",26,1
"10.1177/14614448211015986",NA,3
"10.1177/14614448211015235",6,1
"10.1177/14614448211015978",1,3
"10.1177/14614448211012374",127,4
"10.1177/14614448211014355",5,4
"10.1177/14614448211012794",128,2
"10.1177/14614448211012372",13,6
"10.1177/14614448211014213",21,2
"10.1177/14614448211012377",12,2
"10.1177/14614448211012101",NA,1
"10.1177/14614448211011834",1,3
"10.1177/14614448211011447",NA,1
"10.1177/1461444818821367",2,2
"10.1177/14614448211011452",14,4
"10.1177/14614448211009459",NA,6
"10.1177/14614448211011451",83,4
"10.1177/14614448211010177",1,2
"10.1177/14614448211009504",6,2
"10.1177/1461444821994491",1,2
"10.1177/14614448211009460",4,2
"10.1177/14614448211009246",NA,6
"10.1177/1461444820954352",NA,2
"10.1177/1461444820954203",NA,1
"10.1177/1461444820954201",NA,3
"10.1177/1461444820954198",6,2
"10.1177/1461444820954195",NA,2
"10.1177/1461444820954193",4,2
"10.1177/1461444820954189",3,2
"10.1177/1461444820954186",5,2
"10.1177/1461444820954184",NA,2
"10.1177/1461444820953535",1,2
"10.1177/1461444820953517",NA,3
"10.1177/1461444820953507",NA,2
"10.1177/1461444821998645",6,2
"10.1177/14614448211000650",NA,2
"10.1177/14614448211000666",NA,2
"10.1177/14614448211000314",35,7
"10.1177/14614448211000327",NA,2
"10.1177/1461444821993801",6,1
"10.1177/1461444821999994",5,2
"10.1177/1461444821998346",20,2
"10.1177/1461444821993800",NA,5
"10.1177/1461444821993042",9,3
"10.1177/1461444821999037",14,1
"10.1177/1461444821999032",NA,2
"10.1177/1461444821998705",21,1
"10.1177/1461444821998691",12,3
"10.1177/1461444821995815",4,2
"10.1177/1461444821996715",142,1
"10.1177/1461444821994490",26,3
"10.1177/1461444821995470",1,3
"10.1177/1461444821992701",NA,3
"10.1177/1461444820929324",14,1
"10.1177/1461444820929315",24,1
"10.1177/1461444820929320",21,1
"10.1177/1461444820929576",22,1
"10.1177/1461444820929321",6,2
"10.1177/1461444820929319",5,2
"10.1177/1461444820924623",NA,2
"10.1177/1461444820929317",NA,1
"10.1177/1461444820929316",15,2
"10.1177/1461444820979004",10,1
"10.1177/1461444821991559",13,2
"10.1177/1461444821993048",NA,1
"10.1177/1461444821993038",16,3
"10.1177/1461444820985442",57,6
"10.1177/1461444821989350",53,1
"10.1177/1461444820978640",6,4
"10.1177/1461444820986816",8,4
"10.1177/1461444820984473",192,1
"10.1177/1461444821989972",11,4
"10.1177/1461444821989690",2,1
"10.1177/1461444821989634",16,2
"10.1177/1461444821989352",13,1
"10.1177/1461444821989621",17,3
"10.1177/1461444820986831",NA,1
"10.1177/1461444820986553",39,1
"10.1177/1461444820984457",16,6
"10.1177/1461444820983017",7,1
"10.1177/1461444820983603",64,2
"10.1177/1461444820978999",NA,1
"10.1177/1461444820977209",18,2
"10.1177/1461444820983324",35,2
"10.1177/1461444820975725",NA,1
"10.1177/1461444820961349",3,1
"10.1177/1461444820979708",5,2
"10.1177/1461444820976970",3,1
"10.1177/1461444820981009",34,4
"10.1177/1461444820979280",NA,2
"10.1177/1461444820978293",NA,1
"10.1177/1461444820975723",NA,3
"10.1177/1461444820977197",12,1
"10.1177/1461444820975025",NA,1
"10.1177/1461444820975411",10,2
"10.1177/1461444820977199",16,3
"10.1177/1461444820975416",1,1
"10.1177/1461444820974955",8,2
"10.1177/1461444820969893",539,3
"10.1177/1461444820951925",NA,6
"10.1177/1461444820971786",11,2
"10.1177/1461444820972389",14,2
"10.1177/1461444820972396",5,1
"10.1177/1461444820972392",12,2
"10.1177/1461444820972390",NA,3
"10.1177/1461444820972388",1,1
"10.1177/1461444820971778",3,2
"10.1177/1461444820970180",9,1
"10.1177/1461444820971629",NA,1
"10.1177/1461444820971612",10,3
"10.1177/1461444820966753",1,5
"10.1177/1461444820968907",NA,1
"10.1177/1461444820968212",57,2
"10.1177/1461444820967679",5,2
"10.1177/1461444820964809",3,2
"10.1177/1461444820963795",20,2
"10.1177/1461444820966993",16,10
"10.1177/1461444820966752",9,1
"10.1177/1461444820965879",32,3
"10.1177/1461444820964968",3,3
"10.1177/1461444820963776",NA,2
"10.1177/1461444820965187",75,3
"10.1177/1461444820960074",NA,3
"10.1177/1461444820963777",2,1
"10.1177/1461444820963805",16,2
"10.1177/1461444820962121",151,2
"10.1177/1461444820932868",NA,3
"10.1177/1461444820924632",72,3
"10.1177/1461444820924631",51,5
"10.1177/1461444820924629",NA,4
"10.1177/1461444820924624",8,1
"10.1177/1461444820924622",NA,3
"10.1177/1461444820924619",2,3
"10.1177/1461444820960079",11,4
"10.1177/1461444820959019",NA,1
"10.1177/1461444820962452",2,1
"10.1177/1461444820962109",43,1
"10.1177/1461444820961388",1,1
"10.1177/1461444820960411",366,2
"10.1177/1461444820960068",3,1
"10.1177/1461444820959298",32,6
"10.1177/1461444820960071",10,3
"10.1177/1461444820959296",40,4
"10.1177/1461444820948803",60,2
"10.1177/1461444820959016",2,2
"10.1177/1461444820957257",31,2
"10.1177/1461444820953541",87,1
"10.1177/1461444820958725",49,1
"10.1177/1461444820958719",2,1
"10.1177/1461444820956681",19,3
"10.1177/1461444820954355",NA,2
"10.1177/1461444820958717",14,3
"10.1177/1461444820958123",137,4
"10.1177/1461444820957304",18,4
"10.1177/1461444820957635",NA,1
"10.1177/1461444820956368",21,1
"10.1177/1461444820956341",46,3
"10.1177/1461444820954200",NA,2
"10.1177/1461444820954194",11,3
"10.1177/1461444820956345",110,1
"10.1177/1461444820914865",15,2
"10.1177/1461444820914874",NA,1
"10.1177/1461444820914871",NA,1
"10.1177/1461444820913560",17,1
"10.1177/1461444820913565",25,3
"10.1177/1461444820913561",2,4
"10.1177/1461444820913567",6,2
"10.1177/1461444820914873",15,2
"10.1177/1461444820913555",NA,3
"10.1177/1461444820914869",20,2
"10.1177/1461444820913573",NA,1
"10.1177/1461444820913566",NA,4
"10.1177/1461444820954199",8,3
"10.1177/1461444820952795",95,3
"10.1177/1461444820951609",27,2
"10.1177/1461444820946454",8,3
"10.1177/1461444820948809",NA,3
"10.1177/1461444820943854",NA,2
"10.1177/1461444820946681",1,2
"10.1177/1461444820945317",5,1
"10.1177/1461444820939458",NA,2
"10.1177/1461444820946455",9,2
"10.1177/1461444820912197",5,5
"10.1177/1461444820944851",NA,1
"10.1177/1461444820944846",NA,1
"10.1177/1461444820912534",3,1
"10.1177/1461444820912533",28,3
"10.1177/1461444820912530",44,1
"10.1177/1461444820912532",2,1
"10.1177/1461444820912540",80,2
"10.1177/1461444820912543",NA,1
"10.1177/1461444820912541",10,2
"10.1177/1461444820912531",NA,2
"10.1177/1461444820912536",16,1
"10.1177/1461444820912544",NA,3
"10.1177/1461444820912535",31,1
"10.1177/1461444820943878",914,3
"10.1177/1461444820943849",1,2
"10.1177/1461444820942483",8,1
"10.1177/1461444820934034",43,1
"10.1177/1461444820941381",4,3
"10.1177/1461444820941183",NA,3
"10.1177/1461444820942744",362,4
"10.1177/1461444820941196",7,1
"10.1177/1461444820939445",1,2
"10.1177/1461444820937660",44,2
"10.1177/1461444820934033",NA,5
"10.1177/1461444820941194",28,1
"10.1177/1461444820940293",56,1
"10.1177/1461444820939446",3,1
"10.1177/1461444820933221",22,5
"10.1177/1461444820932556",3,8
"10.1177/1461444820935608",4,3
"10.1177/1461444820939922",26,1
"10.1177/1461444820936292",13,1
"10.1177/1461444820933547",54,2
"10.1177/1461444820929322",23,1
"10.1177/1461444820934032",55,3
"10.1177/1461444820933549",7,2
"10.1177/1461444820933313",11,2
"10.1177/1461444820934096",13,1
"10.1177/1461444820932555",NA,2
"10.1177/1461444820926632",9,1
"10.1177/1461444820933252",25,1
"10.1177/1461444820929678",1,1
"10.1177/1461444820928051",2,3
"10.1177/1461444820931017",3,5
"10.1177/1461444820928059",77,4
"10.1177/1461444820920655",NA,1
"10.1177/1461444820931054",NA,2
"10.1177/1461444820925811",170,2
"10.1177/1461444820931091",21,3
"10.1177/1461444820931024",4,1
"10.1177/1461444820926503",82,3
"10.1177/1461444820926472",61,2
"10.1177/1461444820918549",14,1
"10.1177/1461444820925800",NA,6
"10.1177/1461444820925041",18,4
"10.1177/1461444820923679",36,2
"10.1177/1461444820921938",22,5
"10.1177/1461444820923674",4,3
"10.1177/1461444820920881",25,2
"10.1177/1461444820925457",1,1
"10.1177/1461444820925047",1,1
"10.1177/1461444820925798",NA,3
"10.1177/1461444820921349",NA,2
"10.1177/1461444820919335",2,2
"10.1177/1461444820920876",8,2
"10.1177/1461444820920759",82,1
"10.1177/1461444820921175",1,1
"10.1177/1461444820917905",NA,3
"10.1177/1461444820917353",17,3
"10.1177/1461444820917114",2,2
"10.1177/1461444820910418",56,1
"10.1177/1461444820909517",NA,3
"10.1177/1461444820910416",17,1
"10.1177/1461444820908256",5,2
"10.1177/1461444820905068",1,5
"10.1177/1461444820907023",4,3
"10.1177/1461444820904362",10,5
"10.1177/1461444820905295",NA,2
"10.1177/1461444820905045",1,8
"10.1177/1461444820904697",NA,1
"10.1177/1461444819893991",21,3
"10.1177/1461444819893987",340,6
"10.1177/1461444819893984",NA,7
"10.1177/1461444819893983",NA,3
"10.1177/1461444819893980",NA,2
"10.1177/1461444819893979",6,2
"10.1177/1461444819893978",3,3
"10.1177/1461444820912724",5,1
"10.1177/1461444820913122",56,3
"10.1177/1461444820912722",13,1
"10.1177/1461444820912387",NA,2
"10.1177/1461444820912388",NA,2
"10.1177/1461444820909469",NA,5
"10.1177/1461444820911711",1,1
"10.1177/1461444820910505",NA,1
"10.1177/1461444820907022",14,4
"10.1177/1461444820910124",12,1
"10.1177/1461444820908530",21,3
"10.1177/1461444820908510",NA,3
"10.1177/1461444820903319",11,3
"10.1177/1461444820908606",21,1
"10.1177/1461444820906553",1,2
"10.1177/1461444820907025",14,1
"10.1177/1461444820905531",NA,5
"10.1177/1461444820902449",6,2
"10.1177/1461444820904365",5,4
"10.1177/1461444820902682",77,2
"10.1177/1461444819891699",119,1
"10.1177/1461444820902541",NA,1
"10.1177/1461444820902446",52,1
"10.1177/1461444819899623",64,1
"10.1177/1461444820902104",43,2
"10.1177/1461444819901138",2,2
"10.1177/1461444819900557",161,2
"10.1177/1461444820901847",15,2
"10.1177/1461444820902103",NA,2
"10.1177/1461444819899879",7,2
"10.1177/1461444819899624",9,4
"10.1177/1461444819900508",33,2
"10.1177/1461444819899620",NA,1
"10.1177/1461444819856928",NA,4
"10.1177/1461444819856912",NA,3
"10.1177/1461444819856916",9,2
"10.1177/1461444819856922",3,3
"10.1177/1461444819856926",NA,2
"10.1177/1461444819856914",18,3
"10.1177/1461444819856921",4,1
"10.1177/1461444819856919",NA,1
"10.1177/1461444819856927",NA,1
"10.1177/1461444819856917",5,2
"10.1177/1461444819856909",1,1
"10.1177/1461444819899625",11,1
